代码,名称,标签,币种,最终限额,限额来源,F10购买信息限额,F10基本概况限额,审计状态
018969,汇添富纳斯达克100ETF发起式联接(QDII)美元现钞,纳指,美元,0美元,天天基金F10基本概况实时交易状态,,0美元,一致/单源
018968,汇添富纳斯达克100ETF发起式联接(QDII)美元现汇,纳指,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
018966,汇添富纳斯达克100ETF发起式联接(QDII)人民币A,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
018967,汇添富纳斯达克100ETF发起式联接(QDII)人民币C,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
021773,汇添富纳斯达克100ETF发起式联接(QDII)人民币E,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
017952,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现钞,纳指,美元,0美元,天天基金F10基本概况实时交易状态,,0美元,一致/单源
017951,汇添富纳斯达克生物科技ETF发起式联接(QDII)美元现汇,纳指,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
017894,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币A,纳指,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
017895,汇添富纳斯达克生物科技ETF发起式联接(QDII)人民币C,纳指,人民币,5000元,天天基金F10基本概况实时交易状态,5000.00元,5000元,一致/单源
016534,嘉实纳斯达克100ETF发起联接(QDII)A美元现汇,纳指,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
016532,嘉实纳斯达克100ETF发起联接(QDII)A人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
016535,嘉实纳斯达克100ETF发起联接(QDII)C美元现汇,纳指,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
016533,嘉实纳斯达克100ETF发起联接(QDII)C人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
021838,嘉实纳斯达克100ETF发起联接(QDII)I人民币,纳指,人民币,,,,,未抓到公开限额
012751,建信纳斯达克100指数(QDII)A美元现汇,纳指,美元,,,,,未抓到公开限额
539001,建信纳斯达克100指数(QDII)A人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
012753,建信纳斯达克100指数(QDII)C美元现汇,纳指,美元,,,,,未抓到公开限额
012752,建信纳斯达克100指数(QDII)C人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
023422,建信纳斯达克100指数(QDII)D人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
017092,景顺长城纳斯达克科技ETF联接(QDII)A美元现汇,纳指,美元,,,,,未抓到公开限额
017091,景顺长城纳斯达克科技ETF联接(QDII)A人民币,纳指,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
